rawg_id,name,released,metacritic_x,ratings_count,added,platforms,developers,publishers,genres,stores
25097,The Legend of Zelda: Ocarina of Time,1998-11-21,99,860,1834,"Nintendo Switch, Nintendo 64",Nintendo,Nintendo,"Action, Adventure, RPG",Nintendo Store
407559,Soulcalibur (1998),1998-07-30,98,0,2,"Dreamcast, Xbox 360",,"Bandai Namco Entertainment, Namco",Fighting,
54751,Soulcalibur,1998-07-30,98,84,297,"Xbox One, iOS, Xbox 360, Android, Dreamcast","BANDAI NAMCO Entertainment America, NAMCO, Project Soul","Bandai Namco Entertainment, Namco","Action, Fighting",Xbox 360 Store
324997,Baldur's Gate III,2023-08-03,97,912,4429,"macOS, PC, Xbox Series S/X, PlayStation 5",Larian Studios,Larian Studios,"Adventure, RPG, Strategy","PlayStation Store, GOG, Steam"
56123,Metroid Prime,2002-11-17,97,253,638,"Wii, GameCube",Retro Studios,Nintendo,"Action, Shooter, Adventure",
28495,Perfect Dark,2000-05-22,97,175,1038,"Xbox 360, Nintendo 64","Rare, 4J Studios","Microsoft Studios, Rare","Action, Shooter","Xbox Store, Xbox 360 Store"
28026,Super Mario Odyssey,2017-10-27,97,1900,3821,Nintendo Switch,Nintendo,Nintendo,"Arcade, Platformer",Nintendo Store
27036,Super Mario Galaxy 2,2010-05-23,97,418,986,"Wii, Wii U",Nintendo,Nintendo,Platformer,Nintendo Store
27024,Super Mario Galaxy,2007-11-01,97,769,1597,Wii,Nintendo,Nintendo,Platformer,Nintendo Store
22511,The Legend of Zelda: Breath of the Wild,2017-03-03,97,3113,6212,"Nintendo Switch, Wii U",Nintendo,Nintendo,"Action, Adventure, RPG",Nintendo Store
401808,Half-Life 2: Update,2015-03-27,96,127,2010,PC,Valve Software,,Shooter,Steam
327239,The Legend of Zelda: Tears of the Kingdom,2023-05-12,96,452,1668,Nintendo Switch,Nintendo,Nintendo,"Action, Adventure",Nintendo Store
57842,Tekken 3,1997-03-20,96,554,976,PlayStation,NAMCO,"Namco, SCEE, Namco Hometek",Fighting,
54403,GoldenEye 007 (1997),1997-08-23,96,197,451,Nintendo 64,Rare,Nintendo,Shooter,
52995,Gran Turismo,1997-12-22,96,106,263,PlayStation,"Sony Interactive Entertainment, Polys Entertainment, Cyberhead","Sony Computer Entertainment, Sony Interactive Entertainment",Racing,
52370,Metal Gear Solid 2: Sons of Liberty,2001-11-12,96,553,1153,"PlayStation 2, PlayStation 3, PS Vita, Xbox 360, Xbox",Konami Computer Entertainment Japan,Konami,"Action, Shooter","PlayStation Store, Xbox 360 Store"
22513,Uncharted 2: Among Thieves,2009-10-13,96,1773,4032,"PlayStation 4, PlayStation 3",Naughty Dog,Sony Computer Entertainment,"Action, Shooter",PlayStation Store
18080,Half-Life,1998-11-19,96,2393,11431,"Linux, macOS, PC, Dreamcast, PlayStation 2","Valve Software, Gearbox Software","Valve, Sierra Entertainment","Action, Shooter",Steam
13537,Half-Life 2,2004-11-16,96,4010,15927,"PC, macOS, Xbox 360, Linux, Xbox, Android","Valve Software, NVIDIA Lightspeed Studios",Valve,"Action, Shooter","Steam, Google Play"
4286,BioShock,2007-08-21,96,3330,14654,"PlayStation 3, macOS, PC, Xbox 360","Digital Extremes, 2K Australia, 2K Marin, Irrational Games, 2K China","2K Games, Feral Interactive","Action, Shooter","PlayStation Store, App Store, Xbox Store, Steam, Xbox 360 Store"
28,Red Dead Redemption 2,2018-10-26,96,5323,16514,"PC, PlayStation 4, Xbox One",Rockstar Games,Rockstar Games,Action,"PlayStation Store, Epic Games, Steam, Xbox Store"
378578,Grand Theft Auto IV: Complete Edition,2010-10-27,95,95,225,"PC, PlayStation 3, Xbox 360",Rockstar Toronto,Rockstar Games,"Action, Adventure",Steam
364800,The Legend of Zelda: Collector's Edition,2003-11-07,95,11,40,GameCube,Nintendo,Nintendo,"Action, Adventure, RPG",
326243,Elden Ring,2022-02-25,95,1392,7936,"PC, Xbox One, PlayStation 4, Xbox Series S/X, PlayStation 5",FromSoftware,"Bandai Namco Entertainment, FromSoftware","Action, RPG","Steam, PlayStation Store, Xbox Store"
45958,XCOM 2: War of the Chosen,2017-08-29,95,228,420,"PlayStation 4, Linux, macOS, PC, Xbox One",Firaxis,2K Games,Strategy,Steam
30799,Baldur's Gate II: Shadows of Amn,2000-09-21,95,153,369,"Android, PC, macOS","BioWare, Black Isle Studios, MumboJumbo","SEGA, Interplay Productions, Akella, Virgin Interactive, ak tronic Software & Services, MacPlay, Hed Artzy","RPG, Strategy","Google Play, App Store"
25924,The Legend of Zelda: Majora's Mask,2000-04-27,95,418,1092,"Nintendo Switch, Nintendo 64",Nintendo,Nintendo,"Action, Adventure",Nintendo Store
25096,The Legend of Zelda: A Link to the Past,1991-11-21,95,576,1333,"Wii, Game Boy Advance, SNES, Nintendo Switch, Nintendo 3DS, Wii U",Nintendo,Nintendo,"Action, Adventure",Nintendo Store
10073,Divinity: Original Sin 2,2017-09-14,95,1633,7154,"PlayStation 4, Nintendo Switch, PC, Xbox One",Larian Studios,Larian Studios,"RPG, Strategy","Steam, GOG"
4544,Red Dead Redemption,2010-05-18,95,2152,7286,"PC, Nintendo Switch, PlayStation 4, Xbox One, Xbox 360, PlayStation 3","Rockstar North, Rockstar Games, Double Eleven, Rockstar San Diego",Rockstar Games,"Action, Shooter","Steam, Xbox Store, PlayStation Store, Xbox 360 Store"
4459,Grand Theft Auto IV,2008-04-29,95,3059,13056,"Xbox 360, PC, PlayStation 3, Xbox One",Rockstar North,"Capcom, Rockstar Games, Take Two Interactive",Action,"PlayStation Store, Xbox Store, Steam, Xbox 360 Store"
4200,Portal 2,2011-04-18,95,5961,20664,"PlayStation 3, PC, Xbox 360, Linux, macOS, Xbox One",Valve Software,"Electronic Arts, Valve","Shooter, Puzzle","Xbox Store, Steam, PlayStation Store, Xbox 360 Store"
3990,The Last Of Us,2013-06-14,95,3262,7103,"PlayStation 3, PlayStation 4",Naughty Dog,Sony Computer Entertainment,"Action, Adventure",PlayStation Store
3636,The Last Of Us Remastered,2014-07-29,95,2842,8953,PlayStation 4,Naughty Dog,Sony Computer Entertainment,"Action, Adventure",PlayStation Store
3179,LittleBigPlanet,2008-10-27,95,551,2383,PlayStation 3,"Sony Interactive Entertainment, Media Molecule, Fireproof Studios",Sony Computer Entertainment,"Action, Arcade",PlayStation Store
494369,Metal Gear Solid 3: Subsistence,2005-12-22,94,33,91,"PlayStation 3, PS Vita, PlayStation 2",Kojima Productions,Konami,Shooter,
339958,Persona 5 Royal,2020-03-31,94,505,3102,"Xbox Series S/X, PC, PlayStation 5, Nintendo Switch, Xbox One, PlayStation 4",Atlus,"SEGA, Atlus","Adventure, RPG","Nintendo Store, Steam, PlayStation Store"
59199,Divinity: Original Sin 2 - Definitive Edition,2018-08-31,94,588,1919,"PlayStation 4, Nintendo Switch, macOS, PC, iOS, Xbox One",Larian Studios,"Bandai Namco Entertainment, Larian Studios",RPG,"GOG, Nintendo Store, Steam, Xbox Store, App Store"
58175,God of War (2018),2018-04-20,94,5024,14283,"PC, PlayStation 4",Santa Monica Studio,"Sony Interactive Entertainment, PlayStation PC",Action,"GOG, PlayStation Store, Steam, Epic Games"
57607,Metal Gear Solid,1998-09-03,94,1132,2259,"PC, Game Boy Color, PlayStation, PlayStation 3",Konami Computer Entertainment Japan,"Sony Computer Entertainment, Konami",Action,"GOG, PlayStation Store"
